time	abs
5.96	-0.04
5.963333	-0.04
5.966667	-0.04
5.97	-0.04
5.973333	-0.04
5.976667	-0.04
5.98	-0.04
5.983333	-0.04
5.986667	-0.04
5.99	-0.04
5.993333	-0.03
5.996667	-0.03
6	-0.03
6.003333	-0.04
6.006667	-0.03
6.01	-0.03
6.013333	-0.03
6.016667	-0.03
6.02	-0.02
6.023333	-0.02
6.026667	-0.02
6.03	-0.01
6.033333	-0.01
6.036667	0.00
6.04	0.00
6.043333	0.01
6.046667	0.01
6.05	0.01
6.053333	0.01
6.056667	0.01
6.06	0.01
6.063333	0.02
6.066667	0.02
6.07	0.03
6.073333	0.04
6.076667	0.04
6.08	0.05
6.083333	0.05
6.086667	0.06
6.09	0.06
6.093333	0.07
6.096667	0.08
6.1	0.09
6.103333	0.09
6.106667	0.10
6.11	0.10
6.113333	0.11
6.116667	0.12
6.12	0.12
6.123333	0.13
6.126667	0.14
6.13	0.15
6.133333	0.16
6.136667	0.17
6.14	0.18
6.143333	0.20
6.146667	0.21
6.15	0.22
6.153333	0.24
6.156667	0.25
6.16	0.26
6.163333	0.28
6.166667	0.29
6.17	0.31
6.173333	0.33
6.176667	0.35
6.18	0.37
6.183333	0.38
6.186667	0.40
6.19	0.42
6.193333	0.44
6.196667	0.45
6.2	0.48
6.203333	0.50
6.206667	0.52
6.21	0.54
6.213333	0.56
6.216667	0.59
6.22	0.62
6.223333	0.65
6.226667	0.68
6.23	0.71
6.233333	0.74
6.236667	0.77
6.24	0.80
6.243333	0.84
6.246667	0.88
6.25	0.91
6.253333	0.95
6.256667	0.99
6.26	1.02
6.263333	1.07
6.266667	1.11
6.27	1.15
6.273333	1.20
6.276667	1.25
6.28	1.30
6.283333	1.35
6.286667	1.40
6.29	1.45
6.293333	1.51
6.296667	1.57
6.3	1.64
6.303333	1.70
6.306667	1.77
6.31	1.84
6.313333	1.91
6.316667	1.99
6.32	2.07
6.323333	2.14
6.326667	2.23
6.33	2.31
6.333333	2.40
6.336667	2.49
6.34	2.58
6.343333	2.67
6.346667	2.77
6.35	2.87
6.353333	2.97
6.356667	3.08
6.36	3.19
6.363333	3.30
6.366667	3.41
6.37	3.53
6.373333	3.65
6.376667	3.78
6.38	3.91
6.383333	4.05
6.386667	4.19
6.39	4.34
6.393333	4.49
6.396667	4.64
6.4	4.80
6.403333	4.96
6.406667	5.13
6.41	5.30
6.413333	5.48
6.416667	5.66
6.42	5.85
6.423333	6.04
6.426667	6.24
6.43	6.44
6.433333	6.65
6.436667	6.87
6.44	7.09
6.443333	7.32
6.446667	7.56
6.45	7.80
6.453333	8.05
6.456667	8.31
6.46	8.57
6.463333	8.84
6.466667	9.12
6.47	9.40
6.473333	9.69
6.476667	9.99
6.48	10.30
6.483333	10.61
6.486667	10.93
6.49	11.27
6.493333	11.60
6.496667	11.95
6.5	12.31
6.503333	12.68
6.506667	13.06
6.51	13.45
6.513333	13.85
6.516667	14.26
6.52	14.68
6.523333	15.12
6.526667	15.56
6.53	16.02
6.533333	16.49
6.536667	16.97
6.54	17.47
6.543333	17.98
6.546667	18.50
6.55	19.03
6.553333	19.58
6.556667	20.14
6.56	20.71
6.563333	21.30
6.566667	21.90
6.57	22.51
6.573333	23.14
6.576667	23.78
6.58	24.44
6.583333	25.11
6.586667	25.80
6.59	26.51
6.593333	27.23
6.596667	27.96
6.6	28.72
6.603333	29.48
6.606667	30.27
6.61	31.08
6.613333	31.91
6.616667	32.76
6.62	33.63
6.623333	34.52
6.626667	35.42
6.63	36.35
6.633333	37.29
6.636667	38.26
6.64	39.25
6.643333	40.25
6.646667	41.29
6.65	42.35
6.653333	43.43
6.656667	44.53
6.66	45.66
6.663333	46.80
6.666667	47.97
6.67	49.16
6.673333	50.37
6.676667	51.61
6.68	52.87
6.683333	54.16
6.686667	55.48
6.69	56.82
6.693333	58.19
6.696667	59.59
6.7	61.01
6.703333	62.46
6.706667	63.94
6.71	65.44
6.713333	66.98
6.716667	68.55
6.72	70.16
6.723333	71.79
6.726667	73.45
6.73	75.14
6.733333	76.86
6.736667	78.62
6.74	80.41
6.743333	82.24
6.746667	84.10
6.75	85.99
6.753333	87.92
6.756667	89.88
6.76	91.88
6.763333	93.91
6.766667	95.99
6.77	98.10
6.773333	100.24
6.776667	102.43
6.78	104.65
6.783333	106.91
6.786667	109.21
6.79	111.55
6.793333	113.93
6.796667	116.35
6.8	118.82
6.803333	121.32
6.806667	123.87
6.81	126.45
6.813333	129.07
6.816667	131.74
6.82	134.44
6.823333	137.19
6.826667	139.99
6.83	142.83
6.833333	145.71
6.836667	148.65
6.84	151.62
6.843333	154.64
6.846667	157.71
6.85	160.82
6.853333	163.98
6.856667	167.18
6.86	170.43
6.863333	173.73
6.866667	177.07
6.87	180.46
6.873333	183.89
6.876667	187.37
6.88	190.90
6.883333	194.48
6.886667	198.11
6.89	201.79
6.893333	205.52
6.896667	209.29
6.9	213.12
6.903333	216.99
6.906667	220.92
6.91	224.89
6.913333	228.91
6.916667	232.98
6.92	237.10
6.923333	241.26
6.926667	245.47
6.93	249.73
6.933333	254.05
6.936667	258.42
6.94	262.84
6.943333	267.31
6.946667	271.84
6.95	276.42
6.953333	281.05
6.956667	285.73
6.96	290.47
6.963333	295.26
6.966667	300.11
6.97	305.02
6.973333	309.98
6.976667	315.01
6.98	320.10
6.983333	325.25
6.986667	330.46
6.99	335.73
6.993333	341.05
6.996667	346.43
7	351.86
7.003333	357.33
7.006667	362.86
7.01	368.43
7.013333	374.06
7.016667	379.74
7.02	385.47
7.023333	391.26
7.026667	397.09
7.03	402.97
7.033333	408.88
7.036667	414.84
7.04	420.85
7.043333	426.90
7.046667	432.99
7.05	439.15
7.053333	445.35
7.056667	451.62
7.06	457.94
7.063333	464.32
7.066667	470.77
7.07	477.26
7.073333	483.80
7.076667	490.39
7.08	497.02
7.083333	503.70
7.086667	510.42
7.09	517.20
7.093333	524.02
7.096667	530.88
7.1	537.79
7.103333	544.73
7.106667	551.72
7.11	558.74
7.113333	565.80
7.116667	572.89
7.12	580.03
7.123333	587.21
7.126667	594.42
7.13	601.68
7.133333	608.98
7.136667	616.32
7.14	623.70
7.143333	631.12
7.146667	638.57
7.15	646.05
7.153333	653.56
7.156667	661.11
7.16	668.69
7.163333	676.30
7.166667	683.93
7.17	691.58
7.173333	699.26
7.176667	706.97
7.18	714.69
7.183333	722.45
7.186667	730.23
7.19	738.04
7.193333	745.90
7.196667	753.79
7.2	761.71
7.203333	769.66
7.206667	777.64
7.21	785.64
7.213333	793.67
7.216667	801.72
7.22	809.77
7.223333	817.84
7.226667	825.92
7.23	834.00
7.233333	842.10
7.236667	850.21
7.24	858.33
7.243333	866.46
7.246667	874.61
7.25	882.78
7.253333	890.96
7.256667	899.14
7.26	907.33
7.263333	915.52
7.266667	923.71
7.27	931.90
7.273333	940.10
7.276667	948.30
7.28	956.50
7.283333	964.70
7.286667	972.88
7.29	981.06
7.293333	989.22
7.296667	997.38
7.3	1005.53
7.303333	1013.69
7.306667	1021.84
7.31	1029.98
7.313333	1038.11
7.316667	1046.22
7.32	1054.30
7.323333	1062.36
7.326667	1070.40
7.33	1078.42
7.333333	1086.43
7.336667	1094.43
7.34	1102.40
7.343333	1110.34
7.346667	1118.27
7.35	1126.16
7.353333	1134.04
7.356667	1141.89
7.36	1149.72
7.363333	1157.53
7.366667	1165.31
7.37	1173.05
7.373333	1180.76
7.376667	1188.43
7.38	1196.07
7.383333	1203.67
7.386667	1211.23
7.39	1218.76
7.393333	1226.24
7.396667	1233.69
7.4	1241.11
7.403333	1248.51
7.406667	1255.88
7.41	1263.21
7.413333	1270.51
7.416667	1277.77
7.42	1284.99
7.423333	1292.17
7.426667	1299.31
7.43	1306.42
7.433333	1313.49
7.436667	1320.52
7.44	1327.51
7.443333	1334.46
7.446667	1341.35
7.45	1348.19
7.453333	1354.96
7.456667	1361.68
7.46	1368.34
7.463333	1374.96
7.466667	1381.54
7.47	1388.08
7.473333	1394.57
7.476667	1401.01
7.48	1407.38
7.483333	1413.69
7.486667	1419.94
7.49	1426.13
7.493333	1432.28
7.496667	1438.37
7.5	1444.40
7.503333	1450.39
7.506667	1456.33
7.51	1462.21
7.513333	1468.05
7.516667	1473.82
7.52	1479.54
7.523333	1485.20
7.526667	1490.80
7.53	1496.34
7.533333	1501.82
7.536667	1507.24
7.54	1512.61
7.543333	1517.95
7.546667	1523.23
7.55	1528.46
7.553333	1533.61
7.556667	1538.70
7.56	1543.71
7.563333	1548.65
7.566667	1553.53
7.57	1558.35
7.573333	1563.12
7.576667	1567.83
7.58	1572.47
7.583333	1577.06
7.586667	1581.60
7.59	1586.09
7.593333	1590.53
7.596667	1594.91
7.6	1599.23
7.603333	1603.49
7.606667	1607.69
7.61	1611.80
7.613333	1615.85
7.616667	1619.84
7.62	1623.77
7.623333	1627.65
7.626667	1631.47
7.63	1635.22
7.633333	1638.92
7.636667	1642.57
7.64	1646.18
7.643333	1649.74
7.646667	1653.28
7.65	1656.77
7.653333	1660.20
7.656667	1663.56
7.66	1666.85
7.663333	1670.08
7.666667	1673.26
7.67	1676.39
7.673333	1679.47
7.676667	1682.49
7.68	1685.46
7.683333	1688.37
7.686667	1691.22
7.69	1694.02
7.693333	1696.76
7.696667	1699.44
7.7	1702.06
7.703333	1704.63
7.706667	1707.15
7.71	1709.62
7.713333	1712.05
7.716667	1714.44
7.72	1716.79
7.723333	1719.11
7.726667	1721.39
7.73	1723.63
7.733333	1725.79
7.736667	1727.87
7.74	1729.88
7.743333	1731.85
7.746667	1733.80
7.75	1735.74
7.753333	1737.67
7.756667	1739.56
7.76	1741.40
7.763333	1743.18
7.766667	1744.89
7.77	1746.54
7.773333	1748.13
7.776667	1749.67
7.78	1751.17
7.783333	1752.63
7.786667	1754.06
7.79	1755.47
7.793333	1756.84
7.796667	1758.17
7.8	1759.46
