nm	OxyHb	DeoxyHb	metHb	Hemichrome	HbCO	Hemin
450	1.575105717	1.437061859	1.083216006	1.686122979	1.048407874	0.77710637
452	1.449143617	1.131436001	1.035377614	1.579160914	0.979400927	0.758330071
454	1.34045694	0.909618418	0.995699674	1.477790213	0.92131751	0.739920736
456	1.243975332	0.751947204	0.963248099	1.378162275	0.873028906	0.723162736
458	1.16234262	0.638722933	0.937116295	1.288010609	0.832718284	0.708361875
460	1.091285219	0.553673891	0.914702684	1.206863218	0.796088434	0.694845386
462	1.019720783	0.489044526	0.895657053	1.123864141	0.76355076	0.682368627
464	0.964924734	0.440873843	0.879866145	1.061778217	0.7350044	0.671298562
466	0.914619571	0.406845302	0.866734545	1.007207958	0.711691537	0.660534299
468	0.868008524	0.380952621	0.855615156	0.959281982	0.689472224	0.652889226
470	0.826069446	0.362656855	0.846481588	0.9190169	0.668547517	0.647262452
472	0.787100148	0.350399243	0.840668719	0.883108726	0.649918065	0.63967854
474	0.75519313	0.342702471	0.838520711	0.858637432	0.633558652	0.635274978
476	0.7245537	0.338215993	0.840974398	0.8339846	0.619448708	0.63129954
478	0.697318652	0.336281885	0.84655196	0.815032055	0.607393146	0.627935708
480	0.673560418	0.336376785	0.854388586	0.799383498	0.598589692	0.625244642
482	0.651468157	0.33967206	0.863980124	0.782573098	0.590174422	0.624877679
484	0.630969437	0.34345954	0.874390291	0.767215002	0.584321156	0.625672766
486	0.616156758	0.34805579	0.885826906	0.755306123	0.579052487	0.630626774
488	0.60235815	0.353826244	0.898430712	0.739076644	0.572865452	0.621941971
490	0.587690337	0.362556285	0.910611184	0.724081623	0.565013547	0.617721891
492	0.575557703	0.37146267	0.921377612	0.710357366	0.560803258	0.615091986
494	0.565996462	0.382733752	0.930542517	0.699428791	0.559117814	0.610627263
496	0.555819536	0.396839067	0.937758435	0.688790677	0.55886367	0.60714111
498	0.546584247	0.412692941	0.940398501	0.682473162	0.559947265	0.60298219
500	0.538652763	0.428827973	0.940162643	0.679750095	0.563581584	0.596071044
502	0.530141811	0.446312844	0.936153615	0.681129782	0.569399017	0.589098738
504	0.523695217	0.465677998	0.928229573	0.687447297	0.577791727	0.58200411
506	0.516922671	0.486506303	0.917035963	0.69884787	0.590037068	0.573686271
508	0.513663157	0.508154709	0.903821345	0.715876115	0.607310867	0.564756826
510	0.512395569	0.528658656	0.886888536	0.738423108	0.629147307	0.557234074
512	0.51670537	0.548398452	0.866712001	0.763439016	0.656896733	0.548121147
514	0.528801788	0.567842218	0.846856539	0.79607951	0.69196191	0.540231432
516	0.549191858	0.588693894	0.828064359	0.830172307	0.737606889	0.531913592
518	0.580048588	0.609672339	0.810112799	0.867678014	0.793483965	0.523779235
520	0.622893086	0.631880938	0.792804487	0.900681584	0.858680079	0.515155593
522	0.68207137	0.656530717	0.776982242	0.933467308	0.930351877	0.508183286
524	0.75689532	0.684478606	0.762223281	0.961206282	1.00657636	0.504513651
526	0.845916264	0.714457627	0.749173599	0.986149574	1.083039062	0.495645366
528	0.944063846	0.74635376	0.739063064	1.00390397	1.156884021	0.489651629
530	1.049165057	0.783031692	0.731731139	1.017846072	1.227079398	0.483902534
532	1.149449432	0.824680512	0.726339401	1.028121111	1.293615899	0.476379783
534	1.236007632	0.869519797	0.720644733	1.031606637	1.347296586	0.468184265
536	1.306268262	0.919945399	0.713422764	1.032478018	1.382357113	0.460783834
538	1.363780572	0.973039519	0.703436479	1.026995577	1.39445647	0.452771798
540	1.395760024	1.030657649	0.689374643	1.016974691	1.38554353	0.445799491
542	1.40104768	1.087779328	0.670658333	1.001689209	1.354293833	0.436380761
544	1.371675839	1.142535601	0.647022004	0.983571738	1.308719864	0.426900871
546	1.30481959	1.19088758	0.620294237	0.962694892	1.25885465	0.418093747
548	1.215653779	1.230874951	0.591437155	0.942072199	1.213094879	0.408613857
550	1.11996894	1.26191911	0.561582765	0.923155962	1.173826718	0.399378608
552	1.024573837	1.281462024	0.532600883	0.904312339	1.145877568	0.393079068
554	0.948844466	1.29099092	0.507308054	0.89182254	1.134717814	0.385800959
556	0.891694324	1.28884789	0.487400361	0.88140227	1.144316867	0.379134455
558	0.852652592	1.273123614	0.471920081	0.872252766	1.163596594	0.3733242
560	0.828025155	1.23879622	0.46047467	0.855115599	1.173725178	0.36812555
562	0.817956879	1.190687873	0.45343688	0.832895373	1.176046987	0.363783149
564	0.835630687	1.14224242	0.450338294	0.811909605	1.184821256	0.359624229
566	0.893686249	1.106411501	0.451142628	0.791904141	1.221297147	0.35760593
568	1.002409143	1.08072844	0.454230765	0.777126965	1.269721082	0.356994324
570	1.126451751	1.051886791	0.458366242	0.755814428	1.288788462	0.355098346
572	1.256361484	1.012623207	0.462005264	0.720450867	1.252409442	0.355404149
574	1.366641701	0.967125298	0.464783324	0.685559304	1.165947565	0.355709952
576	1.43099899	0.923925509	0.46616823	0.64533053	1.054262429	0.356994324
578	1.405900734	0.881319905	0.464595297	0.60876882	0.917085976	0.358217536
580	1.276534253	0.843676687	0.460770446	0.569847118	0.785199409	0.360235835
582	1.110588784	0.804044125	0.452589655	0.538078005	0.650646002	0.360296996
584	0.849211994	0.764138194	0.441651696	0.495126164	0.534714076	0.361703689
586	0.653351432	0.721011348	0.428517898	0.461360136	0.433527124	0.359868872
