nm	OxyHb	metHb	DeoxyHb
450	1.575105717	1.083216006	1.437061859
452	1.449143617	1.035377614	1.131436001
454	1.34045694	0.995699674	0.909618418
456	1.243975332	0.963248099	0.751947204
458	1.16234262	0.937116295	0.638722933
460	1.091285219	0.914702684	0.553673891
462	1.019720783	0.895657053	0.489044526
464	0.964924734	0.879866145	0.440873843
466	0.914619571	0.866734545	0.406845302
468	0.868008524	0.855615156	0.380952621
470	0.826069446	0.846481588	0.362656855
472	0.787100148	0.840668719	0.350399243
474	0.75519313	0.838520711	0.342702471
476	0.7245537	0.840974398	0.338215993
478	0.697318652	0.84655196	0.336281885
480	0.673560418	0.854388586	0.336376785
482	0.651468157	0.863980124	0.33967206
484	0.630969437	0.874390291	0.34345954
486	0.616156758	0.885826906	0.34805579
488	0.60235815	0.898430712	0.353826244
490	0.587690337	0.910611184	0.362556285
492	0.575557703	0.921377612	0.37146267
494	0.565996462	0.930542517	0.382733752
496	0.555819536	0.937758435	0.396839067
498	0.546584247	0.940398501	0.412692941
500	0.538652763	0.940162643	0.428827973
502	0.530141811	0.936153615	0.446312844
504	0.523695217	0.928229573	0.465677998
506	0.516922671	0.917035963	0.486506303
508	0.513663157	0.903821345	0.508154709
510	0.512395569	0.886888536	0.528658656
512	0.51670537	0.866712001	0.548398452
514	0.528801788	0.846856539	0.567842218
516	0.549191858	0.828064359	0.588693894
518	0.580048588	0.810112799	0.609672339
520	0.622893086	0.792804487	0.631880938
522	0.68207137	0.776982242	0.656530717
524	0.75689532	0.762223281	0.684478606
526	0.845916264	0.749173599	0.714457627
528	0.944063846	0.739063064	0.74635376
530	1.049165057	0.731731139	0.783031692
532	1.149449432	0.726339401	0.824680512
534	1.236007632	0.720644733	0.869519797
536	1.306268262	0.713422764	0.919945399
538	1.363780572	0.703436479	0.973039519
540	1.395760024	0.689374643	1.030657649
542	1.40104768	0.670658333	1.087779328
544	1.371675839	0.647022004	1.142535601
546	1.30481959	0.620294237	1.19088758
548	1.215653779	0.591437155	1.230874951
550	1.11996894	0.561582765	1.26191911
552	1.024573837	0.532600883	1.281462024
554	0.948844466	0.507308054	1.29099092
556	0.891694324	0.487400361	1.28884789
558	0.852652592	0.471920081	1.273123614
560	0.828025155	0.46047467	1.23879622
562	0.817956879	0.45343688	1.190687873
564	0.835630687	0.450338294	1.14224242
566	0.893686249	0.451142628	1.106411501
568	1.002409143	0.454230765	1.08072844
570	1.126451751	0.458366242	1.051886791
572	1.256361484	0.462005264	1.012623207
574	1.366641701	0.464783324	0.967125298
576	1.43099899	0.46616823	0.923925509
578	1.405900734	0.464595297	0.881319905
580	1.276534253	0.460770446	0.843676687
582	1.110588784	0.452589655	0.804044125
584	0.849211994	0.441651696	0.764138194
586	0.653351432	0.428517898	0.721011348
588	0.482516692	0.415695826	0.673587821
590	0.355794039	0.401714261	0.6154697
592	0.255292364	0.388687121	0.554132787
594	0.194882708	0.378166996	0.494734935
596	0.155551242	0.36979048	0.435532548
598	0.124730728	0.36229582	0.375396044
600	0.10307307	0.355956806	0.32078212
602	0.088332824	0.351435928	0.277532047
604	0.079858088	0.346960684	0.243470222
606	0.070007113	0.344578468	0.215338907
608	0.066457865	0.342976946	0.191945484
610	0.059359368	0.34260804	0.174411038
612	0.056136071	0.342646527	0.161512501
614	0.053093858	0.345833626	0.151936153
616	0.050775982	0.350909785	0.143642365
618	0.048784056	0.357597362	0.135749422
620	0.047407817	0.365637958	0.128849381
622	0.045415892	0.373489428	0.123106548
624	0.04498129	0.380437052	0.118061295
626	0.044003436	0.385590181	0.11266265
628	0.042880715	0.389280333	0.107696717
630	0.041866644	0.39	0.102784608
632	0.041504476	0.387125726	0.098019097
634	0.039983369	0.379626666	0.092937727
636	0.038788214	0.366579733	0.087897433
638	0.036687639	0.347661652	0.08273462
640	0.036615205	0.322659109	0.07832746
642	0.034080028	0.294412288	0.073696509
644	0.032377837	0.263419294	0.069514559
646	0.029770226	0.231133207	0.065066324
648	0.027198832	0.199526654	0.061602494
650	0.024953389	0.170984049	0.057736403
652	0.023251198	0.146416382	0.052767637
654	0.018760313	0.122720128	0.045890265
656	0.021114406	0.105889578	0.04531166
658	0.018543012	0.093733843	0.048194758
660	0.020027901	0.085159952	0.049611874
662	0.01799976	0.074173612	0.045636723
664	0.019991685	0.064587022	0.042849937
666	0.018398145	0.05602523	0.040364137
668	0.018398145	0.048519573	0.037573102
670	0.016551087	0.041231632	0.03429553
672	0.015935401	0.035224138	0.030763005
674	0.014414294	0.031975462	0.028098029
676	0.016877038	0.030362393	0.025774409
678	0.016695954	0.028161606	0.023804182
680	0.016551087	0.025485256	0.021200113
682	0.015102414	0.023283919	0.018114465
684	0.015102414	0.021689544	0.015210117
686	0.014269427	0.020423391	0.012851795
688	0.015464582	0.019934083	0.011023918
690	0.014957547	0.019640498	0.009312186
692	0.013979693	0.019249601	0.007246353
694	0.014160777	0.019476112	0.005015508
696	0.013979693	0.019307328	0.003112561
698	0.014160777	0.018782303	0.001770621
700	0.01412456	0.019044806	0
